time,obs_0,x_0,x_1,regime
0.71,0.5951111501235853,0.45621544650339035,-0.03526439062713951,1
0.72,0.279117862345019,0.455862802597119,-0.03925601631091913,1
0.73,0.3691096739696031,0.4554702424340098,-0.04323613230426848,1
0.74,0.3528384054529095,0.4550378811109671,-0.047204362464000046,1
0.75,0.33285438712853943,0.4545658374863271,-0.051160332550181715,1
0.76,0.2456612046565237,0.4540542341608253,-0.05560367025994462,3
0.77,0.32596170379314754,0.45349819745822584,-0.06003300526103299,3
0.78,0.5095500939577445,0.4528978674056155,-0.06444792122509319,3
0.79,0.633573749758833,0.4522533881933646,-0.06884800405669915,3
0.8,0.43713938843908784,0.4515649081527976,-0.0732328419305194,3
0.81,0.32555704420877385,0.4508325797334924,-0.07760202532818634,3
0.8200000000000001,0.5970655381915045,0.4500565594802105,-0.0819551470748649,3
0.8300000000000001,0.43244869482239245,0.44923700800946187,-0.08629180237551727,3
0.84,0.6492206517015374,0.4483740899857067,-0.09061158885086086,3
0.85,0.485805247712207,0.44746797409719813,-0.0949141065730162,3
0.86,0.5511280429823765,0.44651883303146794,-0.09919895810084214,3
0.87,0.29704364559117724,0.4455268434504595,-0.10346574851495514,3
0.88,0.2702344740806121,0.44449218596531,-0.10771408545242983,3
0.89,0.43270809185959525,0.44341504511078567,-0.11194357914117807,3
0.9,0.35845927083709533,0.4422956093193739,-0.11615384243400358,2
0.91,0.3128386350309168,0.44113407089503387,-0.1203444908423293,2
0.92,0.5340132949966483,0.4399306259866106,-0.12451514256959498,2
0.93,0.29052204034341267,0.43868547456091467,-0.1286654185443219,2
0.9400000000000001,0.19805268342855087,0.43739882037547145,-0.1327949424528424,2
0.9500000000000001,0.5873222870501602,0.43607087095094305,-0.13690334077169142,2
0.96,0.46307609668231164,0.4347018375432261,-0.14099024279965747,2
0.97,0.5054940358021345,0.4332919351152295,-0.14505528068949042,2
0.98,0.4858069675141664,0.43184138230833463,-0.14909808947926373,2
0.99,0.4422083507653165,0.43035040141354197,-0.15311830712338856,2
1.0,0.47138917624556015,0.4288192183423081,-0.1571155745232772,0
1.01,0.7315465978353283,0.4272480625970753,-0.16108953555765373,0
1.02,0.35139962582902795,0.4256371672414988,-0.1650398371125092,0
1.03,0.5808703226205557,0.42398676887037373,-0.16896612911069916,0
1.04,0.1910325413899071,0.42229710757926675,-0.1728680645411815,0
1.05,0.39765247834558504,0.42056842693385493,-0.1767452994878918,0
1.06,0.48931386079299255,0.41880097393897603,-0.18059749315825457,0
1.07,0.44096766001453785,0.4169949990073935,-0.18442430791132783,0
1.08,0.3636206508631268,0.4151507559282802,-0.1882254092855791,0
1.09,0.2896435678956758,0.4132685018354244,-0.19200046602629076,0
1.1,0.3631242284673761,0.4113484971751615,-0.19574915011259242,0
1.11,0.2453934314793648,0.4093910056740355,-0.19947113678411885,0
1.12,0.4408329032273029,0.40739629430619434,-0.20316610456729095,0
1.1300000000000001,0.5730051448617264,0.4053646332605214,-0.20683373530121832,0
1.1400000000000001,0.16342460942481213,0.4032962959075092,-0.2104737141632211,0
1.1500000000000001,0.3395072059692359,0.401191558765877,-0.21408572969396977,2
1.16,0.25685998295708123,0.3990507014689373,-0.2176694738222406,2
1.17,0.5524209184618298,0.3968740067307149,-0.2212246418892855,2
1.18,0.651185412402144,0.39466176031182204,-0.2247509326728141,2
1.19,0.4502160187144073,0.3924142509850939,-0.22824804841058668,2
1.2,0.46540973948625936,0.3901317705009881,-0.23171569482361645,2
1.21,0.44380188123656894,0.38781461355275193,-0.2351535811389791,2
1.22,0.42787969927033204,0.3854630777413621,-0.23856142011222867,2
1.23,0.3993529519557402,0.38307746354023986,-0.24193892804941783,2
1.24,0.393546797459157,0.3806580742597457,-0.24528582482872138,2
1.25,0.3075608438761182,0.37820521601145846,-0.2486018339216614,2
1.26,0.07421380384492515,0.3757191976722418,-0.2518866824139327,0
1.27,0.368400276349747,0.3732003308481025,-0.25514010102582724,0
1.28,0.3037274248110783,0.37064892983784425,-0.2583618241322566,2
1.29,0.39184437183905346,0.36806531159652167,-0.26155158978237053,2
1.3,0.5691694850991599,0.36544979569869795,-0.264709139718771,2
1.31,0.0747119252247539,0.36280270430151024,-0.26783421939632046,0
1.32,0.379296806142815,0.36012436210754706,-0.27092657800054293,0
1.33,0.18521221460964846,0.35741509632754165,-0.2739859684656173,0
1.34,0.3215824818705585,0.35467523664288547,-0.27701214749196146,0
1.35,0.25739585511736846,0.35190511516796585,-0.28000487556340636,0
1.36,0.08209282547017299,0.3491050664123318,-0.28296391696395923,0
1.37,0.28419953659693253,0.3462754272426922,-0.28588903979415464,0
1.3800000000000001,0.1741771968399951,0.34341653684475065,-0.28878001598699327,0
1.3900000000000001,0.3233573297282739,0.3405287366848807,-0.2916366213234668,0
1.4000000000000001,0.18921318500033918,0.33761237047164605,-0.29445863544766865,0
1.41,0.260240395164958,0.33466778411716935,-0.2972458418814898,2
1.42,0.4830105865875324,0.33169532569835447,-0.29999802803889847,2
1.43,0.23454967695955162,0.32869534541796547,-0.3027149852398042,2
1.44,0.17129985997476732,0.3256681955655674,-0.30539650872350427,2
1.45,0.3424269828382674,0.3226142304783324,-0.30804239766171293,3
1.46,0.23447736351234094,0.31953380650171526,-0.31065245517117285,0
1.47,0.36941583488193963,0.3164272819500035,-0.31322648832584765,0
1.48,0.12971561859804462,0.31329501706674506,-0.315764308168696,0
1.49,0.3373269189503986,0.3101373739850581,-0.3182657297230261,0
1.5,0.4117050124820229,0.3069547166878278,-0.32073057200343064,0
1.51,0.19195666977751524,0.3037474109677935,-0.32315865802630206,0
1.52,0.030308873912933132,0.3005158243875305,-0.3255498148199274,0
1.53,0.1942494903599797,0.29726032623933124,-0.32790387343416283,0
1.54,0.3856854370207091,0.2939812875049896,-0.3302206689496878,0
1.55,0.35597341808249033,0.2906790808154927,-0.33250004048683834,0
